event_at,statId,chgerId,busiId,prev_stat,new_stat,gap_minutes,normal_ratio_prev6h,started_down_next6h,down_minutes_next6h,y_down_6h,n_events_6h,to_9_6h,to_1_6h,to_4_6h,to_5_6h,to_bad_6h,from9_to_normal_6h,from1_to_normal_6h,bad_to_normal_6h,n_events_24h,to_9_24h,to_1_24h,to_4_24h,to_5_24h,to_bad_24h,from9_to_normal_24h,from1_to_normal_24h,bad_to_normal_24h
2026-01-14T22:16:04,AM900011,02,AM,5,3,10,0.5555092592592593,1,200,1,20,0,0,0,10,10,0,0,10,20,0,0,0,10,10,0,0,10
2026-01-14T22:46:02,AM900011,02,AM,5,3,10,0.6109722222222222,1,220,1,22,0,0,0,11,11,0,0,11,22,0,0,0,11,11,0,0,11
2026-01-14T14:56:03,AM900012,14,AM,5,3,10,0.6666666666666666,1,340,1,23,0,0,0,12,12,0,0,11,24,0,0,0,12,12,0,0,12
2026-01-14T15:16:03,AM900012,14,AM,5,3,10,0.6388888888888888,1,350,1,24,0,0,0,12,12,0,0,12,26,0,0,0,13,13,0,0,13
2026-01-15T11:56:02,AM900024,07,AM,5,3,10,0.5,1,200,1,18,0,0,0,9,9,0,0,9,18,0,0,0,9,9,0,0,9
2026-01-15T12:26:02,AM900024,07,AM,5,3,10,0.5555555555555556,1,220,1,20,0,0,0,10,10,0,0,10,20,0,0,0,10,10,0,0,10
2026-01-15T12:56:03,AM900024,07,AM,5,3,10,0.6111111111111112,1,240,1,22,0,0,0,11,11,0,0,11,22,0,0,0,11,11,0,0,11
2026-01-15T13:26:02,AM900024,07,AM,5,3,10,0.6666203703703704,1,260,1,24,0,0,0,12,12,0,0,12,24,0,0,0,12,12,0,0,12
2026-01-15T13:56:02,AM900024,07,AM,5,3,10,0.6666203703703704,1,280,1,24,0,0,0,12,12,0,0,12,26,0,0,0,13,13,0,0,13
2026-01-15T14:26:02,AM900024,07,AM,5,3,10,0.6666203703703704,1,300,1,24,0,0,0,12,12,0,0,12,28,0,0,0,14,14,0,0,14
2026-01-15T14:56:02,AM900024,07,AM,5,3,10,0.6666203703703704,1,320,1,24,0,0,0,12,12,0,0,12,30,0,0,0,15,15,0,0,15
2026-01-15T15:26:02,AM900024,07,AM,5,3,10,0.6666203703703704,1,340,1,24,0,0,0,12,12,0,0,12,32,0,0,0,16,16,0,0,16
2026-01-14T03:16:03,AM900029,01,AM,9,2,10,0.9721759259259259,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-15T03:16:02,AM900029,01,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-16T03:16:02,AM900029,01,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-14T03:16:03,AM900029,02,AM,9,2,10,0.9721759259259259,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-15T03:16:02,AM900029,02,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-16T03:16:02,AM900029,02,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-14T03:16:03,AM900029,11,AM,9,2,10,0.9721759259259259,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-15T03:16:02,AM900029,11,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-16T03:16:02,AM900029,11,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-14T03:16:03,AM900029,12,AM,9,2,10,0.9721759259259259,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
